ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
1661;0;Kit de Montage TraX par paire;288;23.15;1;14.35;0;;;;;D9394-200-00;D9394-200-00;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;<p><span>Kits de montage pour EVO Quick-Lock de SW-Motech</span></p>;<p><span>Kits de montage pour supports latéraux EVO Quick-Lock SW-Motech pour le montage des sacoches habituelles.</span></p>;;;;;kit-de-montage-trax-par-paire;En Stock;Délais sur demande;1;;;1;;1;;;new;;;;2;;;;
1663;0;Supports pour sacoches de selle sport;288;91.67;1;56.8;0;;;;;D9390-515-03;D9390-515-03;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;<p>Déflecteur de sacoche, pou éviter le contact entre les sacoches et les pneus.</p>;<p><span>Set de sacoches de selle sûre en Nylon Ballistic 1680 de grande qualité.</span></p> <ul><li>Plus de sécurité : Pas de danger de flottement intempestifs des sacoches au niveau de la roue sur l'arrière.</li> <li>Les supports déflecteurs fiables empêchent le contact entre les sacoches et le pneu.</li> <li>Montage rapide sur le véhicule de voyage.</li> <li>Les supports déflecteurs QUICK-LOCK sont installés seulement une fois. Les supports déflecteurs sont fixés sur une connection rapide.</li> </ul><p><br /><b>Contenu de livraison:</b></p> <ul><li>2 supports de sacoches latérales</li> <li>Matériel de montage</li> <li>Instructions de montage</li> </ul><p></p>;;;;;supports-pour-sacoches-de-selle-sport;En Stock;Disponibilité: délais sur demande;1;;;1;;1;;;new;;;;2;;;;
1664;0;Sacoches Sport;288;208.33;1;129.2;0;;;;;D9390-400-03;D9390-400-03;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;<p>Jeu de sacoches de selle stables en nylon ballistic 1680 de grande qualité.</p>;<p><span>Jeu de sacoches de selle stables en nylon ballistic 1680 de grande qualité.</span></p> <ul><li>Sacoches de selle-Set Sport pour moto-sport.</li> <li>Moindre poids et design réussi.</li> <li>Volume du set de sacoche sport à l'unité 14 l - 21 l (gauche et droite, par paire 28 l-42 l).</li> <li>Chargement du sac principal par le haut et de côté pour les latéraux.</li> <li>Détail réfléchissant.</li> </ul><p><br /><b>Contenu de livraison:</b></p> <ul><li>2 sacoches latérales</li> <li>2 sacs d'intérieur étanches</li> </ul><p></p> <p><b>Accessoires en option:</b></p> <ul><li> <ul><li>Cadenas à câble-sacoches</li> </ul></li> </ul>;;;;;sacoches-sport;En Stock;Disponibilité: Délais sur demande;1;;;1;;1;;;new;;;;2;;;;
9000;1;TRAVELLER PRO Coussin;288;274.55;1;165.91;0;;;;;AIR.00.495.10000/B;D9396-020-03;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;Noir.;<p>Le coussin de confort TRAVELLER PRO a été développé en étroite collaboration entre AIRHAWK® et SW-MOTECH. Il est l'accessoire indispensable aux gros rouleurs qui cherchent une solution discrète et efficace pour les longues journées à moto. Conforme aux technologies de AIRHAWK® Shape Fitting® et DRY FLOATATION®, le coussin est en matériau néoprène. Les bulles dair stimulent en permanence la circulation du sang, évitant leffet dengourdissement. Elles permettent à la fois de réduire les vibrations, tout en évacuant la transpiration et la chaleur grâce au canal central. L'étui est en cuir artificiel pour un confort et une qualité haut de gamme. L'étui est fixé à la moto de façon sécurisée grâce à un système de fixation qui entoure la selle, en s'intégrant ainsi du mieux possible dans les lignes de la moto.</p><br /><strong> Caractéristiques :</strong><ul><li> Accroissement du confort de l'assise, de l'entrejambe, et du dos</li><li> Prévient l'effet d'engourdissement et l'apparition de douleurs</li><li> Réduit la production de chaleur et favorise l'évacuation de la transpiration</li><li> Canalise et atténue le ressenti des vibrations de la moto</li><li> Etui confectionné d'une combinaison de cuir artificiel et de matériau souple et élastique</li><li> Système de fixation élastique et particulièrement stable</li><li> Surface intérieure antidérapante</li><li> Coussin intérieur résistant à l'eau</li><li> Compatible avec la majorité des modèles de moto et types de selles</li><li> Matériau: coussin interne en néoprène extrêmement résistant et souple</li><li> Dimensions : 28 x 30 cm</li></ul><br /><strong>Contenu :</strong><ul><li>Coussin interne en néoprène de haute qualité</li><li>Etui en cuir artificiel avec système de fixation intégré</li></ul>;;;;;traveller-pro-coussin;En Stock;Disponibilité : Délai sur demande;1;;;1;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_3_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_4_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_5_xl.jpg;1;;;new;;;;2;;;;
9001;1;Coussin TRAVELLER ECO;288;122.55;1;74.06;0;;;;;AIR.00.495.10100/B;D9396-021-03;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;Noir.;<p>Le coussin de confort TRAVELLER ECO a été développé grâce à une étroite collaboration entre AIRHAWK® et SW-MOTECH. Il est l'accessoire indispensable aux gros rouleurs qui cherchent une solution discrète et efficace pour les longues journées à moto. Conforme aux technologies de AIRHAWK® Shape Fitting® et DRY FLOATATION®, le coussin est en matériau polyuréthane. Les bulles d'air stimulent en permanence la circulation du sang, évitant l'effet d'engourdissement. Elles permettent à la fois de réduire les vibrations, tout en évacuant la transpiration et la chaleur grâce au canal central. L'étui est en cuir artificiel pour un confort et une qualité haut de gamme. L'étui est fixé à la moto de façon sécurisée grâce à un système de fixation qui entoure la selle, en s'intégrant ainsi du mieux possible dans les lignes de la moto.</p><br /><strong> Caractéristiques :</strong><ul><li> Accroissement du confort de l'assise, de l'entrejambe, et du dos</li><li> Prévient l'effet d'engourdissement et l'apparition de douleurs</li><li> Réduit la production de chaleur et favorise l'évacuation de la transpiration</li><li> Canalise et atténue le ressenti des vibrations de la moto</li><li> Etui confectionné d'une combinaison de cuir artificiel et de matériau souple et élastique</li><li> Système de fixation élastique et particulièrement stable</li><li> Surface intérieure antidérapante</li><li> Coussin intérieur résistant à l'eau</li><li> Compatible avec la majorité des modèles de moto et types de selles</li><li> Matériau: coussin interne en polyuréthane</li><li> Dimensions : 28 x 30 cm</li></ul><br /><strong>Contenu :</strong><ul><li>Coussin interne en polyuréthane</li><li>Etui en cuir artificiel avec système de fixation intégré</li></ul>;;;;;coussin-traveller-eco;En Stock;Disponibilité : Délai sur demande;1;;;1;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10100_b_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10100_b_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10100_b_3_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10100_b_4_xl.jpg,;1;;;new;;;;2;;;;
9002;1;Valise TraX® EVO ALU-BOX L;288;346.75;1;209.54;0;;;;;ALK.00.165.10000L/B;D9393-100-03;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;45 L. Gauche. Noir. 49 x 28 x 37 cm.;"<strong>Valise TraX® EVO ALU</strong>Par SW-MOTECH, la valise de voyage ultime..<br />MADE IN GERMANY.<br />disponible en aluminium brut ou en noir anodisé.<br />Compatible avec tous les supports SW-Motech QUICK-LOCK et EVO.<br />Fixez votre valise TraX® EVO ALU sur les supports SW-MOTECH,<br /> Givi ou Hepco &amp; Becker avec les kit dadaptations (en option).<br />Les valises TraX® EVO sont livrées sans serrures.<br />Les jeux de serrures sont vendus séparément en jeux de 1, 2 ou 3.<br /><strong>Caractéristiques:</strong><ul><li>Construction solide et soignée</li><li>En aluminium de 1,5 mm</li><li>Support de fixation en acier (vendu séparément)</li><li>Technique de rivetage unique, sans perçage.</li><li>Couvercle embouti avec cadre en plastique souple et joint détanchéité </li><li>Loquets en acier inoxydable</li><li>Coin en fibre de verre renforcée</li><li>Valises latérales comprennent quatre points darrimage</li><li>Les valises noires possède un traitement de surface interne pour ne pas avoir de dépôts sur vos affaires !</li><li>Charnières</li><li>Capacité: 45 L </li><li>Dimensions: 19.3 x 11"" x 14.6"" / 49 x 28 x 37 cm </li><li>Poids :11.0 lbs / 5 kg </li></ul><br /><strong>Inclus: </strong><ul><li>Chaque valise TraX® EVO comporte un sac de transport</li></";;;;;valise-trax-evo-alu-box-l;En Stock;Disponibilité : Délai sur demande;1;;;1;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_10000_b_l_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_b_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_b_3_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_b_4_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_b_5_xl.jpg;1;;;new;;;;2;;;;
9003;1;Valise TraX® EVO ALU-BOX L;288;322.05;1;194.61;0;;;;;ALK.00.165.10000L/S;D9393-100-93;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;45 L. Gauche. Gris. 49 x 28 x 37 cm.;"<strong>Valise TraX® EVO ALU</strong>Par SW-MOTECH, la valise de voyage ultime..<br />MADE IN GERMANY.<br />disponible en aluminium brut ou en noir anodisé.<br />Compatible avec tous les supports SW-Motech QUICK-LOCK et EVO.<br />Fixez votre valise TraX® EVO ALU sur les supports SW-MOTECH,<br /> Givi ou Hepco &amp; Becker avec les kit dadaptations (en option).<br />Les valises TraX® EVO sont livrées sans serrures.<br />Les jeux de serrures sont vendus séparément en jeux de 1, 2 ou 3.<br /><strong>Caractéristiques:</strong><ul><li>Construction solide et soignée</li><li>En aluminium de 1,5 mm</li><li>Support de fixation en acier (vendu séparément)</li><li>Technique de rivetage unique, sans perçage.</li><li>Couvercle embouti avec cadre en plastique souple et joint détanchéité </li><li>Loquets en acier inoxydable</li><li>Coin en fibre de verre renforcée</li><li>Valises latérales comprennent quatre points darrimage</li><li>Les valises noires possède un traitement de surface interne pour ne pas avoir de dépôts sur vos affaires !</li><li>Charnières</li><li>Capacité: 45 L </li><li>Dimensions: 19.3 x 11"" x 14.6"" / 49 x 28 x 37 cm </li><li>Poids :11.0 lbs / 5 kg </li></ul><br /><strong>Inclus: </strong><ul><li>Chaque valise TraX® EVO comporte un sac de transport</li></";;;;;valise-trax-evo-alu-box-l;En Stock;Disponibilité : Délai sur demande;1;;;1;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_10000_s_l_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_s_3_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_s_4_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_s_5_xl.jpg;1;;;new;;;;2;;;;
9004;1;Valise TraX® EVO ALU-BOX L;288;346.75;1;209.54;0;;;;;ALK.00.165.10000R/B;D9393-101-03;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;45 L. Droite. Noir. 49 x 28 x 37 cm.;"<strong>Valise TraX® EVO ALU</strong>Par SW-MOTECH, la valise de voyage ultime..<br />MADE IN GERMANY.<br />disponible en aluminium brut ou en noir anodisé.<br />Compatible avec tous les supports SW-Motech QUICK-LOCK et EVO.<br />Fixez votre valise TraX® EVO ALU sur les supports SW-MOTECH,<br /> Givi ou Hepco &amp; Becker avec les kit dadaptations (en option).<br />Les valises TraX® EVO sont livrées sans serrures.<br />Les jeux de serrures sont vendus séparément en jeux de 1, 2 ou 3.<br /><strong>Caractéristiques:</strong><ul><li>Construction solide et soignée</li><li>En aluminium de 1,5 mm</li><li>Support de fixation en acier (vendu séparément)</li><li>Technique de rivetage unique, sans perçage.</li><li>Couvercle embouti avec cadre en plastique souple et joint détanchéité </li><li>Loquets en acier inoxydable</li><li>Coin en fibre de verre renforcée</li><li>Valises latérales comprennent quatre points darrimage</li><li>Les valises noires possède un traitement de surface interne pour ne pas avoir de dépôts sur vos affaires !</li><li>Charnières</li><li>Capacité: 45 L </li><li>Dimensions: 19.3 x 11"" x 14.6"" / 49 x 28 x 37 cm </li><li>Poids :11.0 lbs / 5 kg </li></ul><br /><strong>Inclus: </strong><ul><li>Chaque valise TraX® EVO comporte un sac de transport</li></";;;;;valise-trax-evo-alu-box-l;En Stock;Disponibilité : Délai sur demande;1;;;1;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_10000_b_r_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_r_b_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_r_b_3_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_r_b_4_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_r_b_5_xl.jpg;1;;;new;;;;2;;;;
9005;1;Valise TraX® EVO ALU-BOX L;288;322.05;1;194.61;0;;;;;ALK.00.165.10000R/S;D9393-101-93;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;45 L. Droite. Gris. 49 x 28 x 37 cm.;"<strong>Valise TraX® EVO ALU</strong>Par SW-MOTECH, la valise de voyage ultime..<br />MADE IN GERMANY.<br />disponible en aluminium brut ou en noir anodisé.<br />Compatible avec tous les supports SW-Motech QUICK-LOCK et EVO.<br />Fixez votre valise TraX® EVO ALU sur les supports SW-MOTECH,<br /> Givi ou Hepco &amp; Becker avec les kit dadaptations (en option).<br />Les valises TraX® EVO sont livrées sans serrures.<br />Les jeux de serrures sont vendus séparément en jeux de 1, 2 ou 3.<br /><strong>Caractéristiques:</strong><ul><li>Construction solide et soignée</li><li>En aluminium de 1,5 mm</li><li>Support de fixation en acier (vendu séparément)</li><li>Technique de rivetage unique, sans perçage.</li><li>Couvercle embouti avec cadre en plastique souple et joint détanchéité </li><li>Loquets en acier inoxydable</li><li>Coin en fibre de verre renforcée</li><li>Valises latérales comprennent quatre points darrimage</li><li>Les valises noires possède un traitement de surface interne pour ne pas avoir de dépôts sur vos affaires !</li><li>Charnières</li><li>Capacité: 45 L </li><li>Dimensions: 19.3 x 11"" x 14.6"" / 49 x 28 x 37 cm </li><li>Poids :11.0 lbs / 5 kg </li></ul><br /><strong>Inclus: </strong><ul><li>Chaque valise TraX® EVO comporte un sac de transport</li></";;;;;valise-trax-evo-alu-box-l;En Stock;Disponibilité : Délai sur demande;1;;;1;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_10000_s_r_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_r_s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_r_s_3_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_r_s_4_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_r_s_5_xl.jpg;1;;;new;;;;2;;;;
9006;1;Valise TraX® EVO ALU-BOX M;288;331.55;1;200.35;0;;;;;ALK.00.165.11000L/B;D9393-102-03;Hostettler;SW-MOTECH;;;;;;;;1;0;both;;;;37 L. Gauche. Noir. 49 x 23 x 37 cm.;"<strong>Valise TraX® EVO ALU</strong>Par SW-MOTECH, la valise de voyage ultime. <br />MADE IN GERMANY.<br /><br />disponible en aluminium brut ou en noir anodisé.<br />Compatible avec tous les supports SW-Motech QUICK-LOCK et EVO.<br />Fixez votre valise TraX® EVO ALU sur les supports SW-MOTECH,<br /> Givi ou Hepco &amp; Becker avec les kits dadaptations (en option).<br />Les valises TraX® EVO sont livrées sans serrure.<br />Les jeux de serrures sont vendus séparément en jeux de 1, 2 ou 3.<br /><strong>Caractéristiques:</strong><ul><li>Construction solide et soignée</li><li>En aluminium de 1,5 mm</li><li>Support de fixation en acier (vendu séparément)</li><li>Technique de rivetage unique, sans perçage.</li><li>Couvercle embouti avec cadre en plastique souple et joint détanchéité </li><li>Loquets en acier inoxydable</li><li>Coin en fibre de verre renforcée</li><li>Valises latérales comprennent quatre points darrimage</li><li>Les valises noires possède un traitement de surface interne pour ne pas avoir de dépôts sur vos affaires !</li><li>Charnières</li><li>Capacité: 37 L </li><li>Dimensions: 19.3 x 9.1"" x 14.6"" / 49 x 23 x 37 cm </li><li>Poids :10.3 lbs / 4.7 kg </li></ul><br /><strong>Inclus:</strong><ul><li>Chaque valise TraX® EVO comporte un sac de transport</li></";;;;;valise-trax-evo-alu-box-m;En Stock;Disponibilité : Délai sur demande;1;;;1;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_b_l_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_b_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_b_3_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_b_4_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/alk_00_165_11000_l_b_5_xl.jpg;1;;;new;;;;2;;;;
