ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84778;1;Gilet Windstopper SLIM WTS noir;230;106.4814815;1;58.56481481;1;;;;;F33001-003;F33001-003;Motochic;SIXS;;;;;;;;1;;;;;;Gilet couvre vent et étanche pour l'hiver;"Le gilet WTS représente la nouvelle référence dans la lu! e contre le froid: grâce à sa technologie Brainy Position, 3 différentes matières sont mélangées et composent le produit. Le Winter Barrier (fibre coupe-vent et hydrofuge) agit sur le devant exposé au vent froid, en empêchant ce dernier de pénétrer et en gardant le corps au chaud et au sec. Pour les zones soumises à une abondante transpiration, le Carbon Underwear® garantit une respirabilité et une thermorégulation maximales, tandis que pour les zones intermédiaires, une trame en micropolaire réchauffe et maintient la bonne température corporelle. Produit conseillé comme &quot;couche intermédiaire&quot;: à porter sur un Underwear SIXS et sous un autre vêtement technique.<br><b><br>Technologies:</b><br><ul><li>Comfort Fit</li><li>Areo Fit</li></ul><b>Composition:</b><br>80 % Polyester, 15 % Polypropylène, 2 % Élastomère, 2 % Carbone<br><br><b>Tailles:</b><br>XS - 3XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33001-003.jpg;0;Genre:Homme:1,Étanchéité:Oui:2,Coupe-vent:Oui:3,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
84779;1;Maillot WindstopperFULL WTJ noir;230;115.7407407;1;63.65740741;1;;;;;F33002-003;F33002-003;Motochic;SIXS;;;;;;;;1;;;;;;Jersey couvre vent et étanche pour l'hiver;"Le maillot WTJ représente la nouvelle référence dans la lutte contre le froid: grâce à sa technologie Brainy Position, 3 différentes matières sont mélangées et composent le produit. Le Winter Barrier (fibre coupe-vent et hydrofuge) agit sur le devant exposé au vent froid, en empêchant ce dernier de pénétrer et en gardant le corps au chaud et au sec. Pour les zones soumises à une abondante transpiration, le Carbon Underwear® garantit une respirabilité et une thermorégulation maximales, tandis que pour les zones intermédiaires, une trame en micropolaire réchauffe et maintient la bonne température corporelle. Produit conseillé comme &quot;couche intermédiaire&quot;: à porter sur un Underwear SIXS et sous un autre vêtement technique.<br><br><b>Technologies:</b><br><ul><li>Comfort Fit</li><li>Areo Fit</li></ul><b>Composition:</b><br>80 % Polyester, 15 % Polypropylène, 2 % Élastomère, 2 % Carbone<br><b><br>Tailles:</b><br>XS - 3XL<br>";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33002-003.jpg;0;Genre:Homme:1,Étanchéité:Oui:2,Coupe-vent:Oui:3,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
84780;1;Pantalon WindstopperWTP noir;230;110.1851852;1;60.60185185;1;;;;;F33021-003;F33021-003;Motochic;SIXS;;;;;;;;1;;;;;;Pantalons fonctionnels longs pour l'hiver.;"Le pantalon WTP représente la nouvelle référence dans la lutte contre le froid : grâce à sa technologie Brainy Position, 3 différentes matières sont mélangées et composent le produit. Le Winter Barrier (fibre coupe-vent et hydrofuge) agit sur le devant exposé au vent froid, en empêchant ce dernier de pénétrer et en gardant le corps au chaud et au sec. Pour les zones soumises à une abondante transpiration, le Carbon Underwear® garantit une respirabilité et une thermorégulation maximales, tandis que pour les zones intermédiaires, une trame en micropolaire réchauffe et maintient la bonne température corporelle. Produit conseillé comme &quot;couche intermédiaire&quot;: à porter sur un Underwear SIXS et sous un autre vêtement technique.<br><br><b>Technologies:</b><br><ul><li>Comfort Fit</li><li>Areo Fit</li></ul><br><b>Composition:</b><br>80 % Polyester, 15 % Polypropylène, 2 % Élastomère, 2 % Carbone<br><b><br>Tailles:</b><br>XS - 3XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33021-003-_01.jpg,http://shop.motochic.ch/shopimages/super/F33021-003.jpg;0;Genre:Homme:1,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
84781;1;Combinaison fonctionelle STX noir-carbon;230;100.9259259;1;55.50925926;1;;;;;F33261-003;F33261-003;Motochic;SIXS;;;;;;;;0;;;;;;Une nécessité absolue pour tous les motard en combi cuir!;La combinaison intégrale SIXS Carbon Underwear est le sous-vêtement de sport que chaque motard qui utilise la combinaison en cuir doit posséder. Le tissu SIXS Carbon Underwear® permet non seulement d?enfiler plus facilement des vêtements tels que la combinaison en cuir, mais également de préserver la peau contre l´accumulation de la transpiration même dans les mois les plus chauds, ainsi qu´une thermorégulation naturelle de la peau. Plus de coups de froid soudains puisque le corps ne ressent plus l´humidité. Produit pouvant être également utilisé pour d´autres activités sportives qui requièrent un seul vêtement technique comme la combinaison de plongée ou de ski.<b><br></b><br><b>Technologies:</b><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33261-003.jpg,http://shop.motochic.ch/shopimages/super/F33261-003-_01.jpg;0;Genre:Homme:1,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
84782;1;Combinaison fonctionelle STXL noir-carbon;230;106.4814815;1;58.56481481;1;;;;;F33262-003;F33262-003;Motochic;SIXS;;;;;;;;1;;;;;;Superlight Carbon Underwear® Sous-combinaison 1pcs;Combinaison intégrale SuperLight Carbon Underwear, conçue pour la saison chaude, lorsque la chaleur et l´humidité ne laissent pas de répit. Dans ces conditions, il est nécessaire de porter un produit qui permet à l´athlète de maintenir la bonne température corporelle en transférant la sueur (et avec elle la chaleur) à l´extérieur, sans l´absorber. Notre tissu SuperLight Carbon Underwear® (36 % plus léger que le Carbon Underwear®) permet non seulement d?enfiler plus facilement des vêtements tels que la combinaison en cuir mais donne également une agréable sensation d´avoir la peau au sec et au frais.<br><b><br>Technologies:</b><br><ul><li>Seamless Technology</li><li>Anti static System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33262-003.jpg,http://shop.motochic.ch/shopimages/super/F33262-003-_01.jpg;0;Genre:Homme:1,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
84783;0;Maillot fonctionel TS1 blanc;230;0;1;0;1;;;;;F33351-001;F33351-001;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues est un produit-multi-sport, adapté à toutes les situations.;"Maillot ras-du-cou à manches courtes SIXS Carbon Underwear, produit multi sports idéal, quelles que soient les conditions. Contrairement au débardeur, la manche courte épouse la forme de la partie supérieure du bras (l&acute;aisselle) qui est soumise à une abondante transpiration, en gardant la peau au sec. La fibre polypropylène la plus légère et la plus respirante sur le marché combinée à un véritable fil de carbone, conférant au produit des propriétés anti statiques et de transmission de chaleur, protège le corps de la charge électrique provoquée par le frottement de plusieurs tissus synthétiques (caractéristique typique du vêtement de sport).<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33351-001.jpg,http://shop.motochic.ch/shopimages/super/F33351-001-_01.jpg;0;Genre:Homme:1,Couleur:blanc:4;0;new;0;0;0;2;0;0;0;0
84784;0;Maillot fonctionel TS1 noir;230;0;1;0;1;;;;;F33351-003;F33351-003;Motochic;SIXS;;;;;;;;1;;;;;;Maillot, col rond à manches longues est un produit-multi-sport, adapté à toutes les situations.;"Maillot ras-du-cou à manches courtes SIXS Carbon Underwear, produit multi sports idéal, quelles que soient les conditions. Contrairement au débardeur, la manche courte épouse la forme de la partie supérieure du bras (l&acute;aisselle) qui est soumise à une abondante transpiration, en gardant la peau au sec. La fibre polypropylène la plus légère et la plus respirante sur le marché combinée à un véritable fil de carbone, conférant au produit des propriétés anti statiques et de transmission de chaleur, protège le corps de la charge électrique provoquée par le frottement de plusieurs tissus synthétiques (caractéristique typique du vêtement de sport).<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33351-003.jpg,http://shop.motochic.ch/shopimages/super/F33351-003-_01.jpg;0;Genre:Homme:1,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
84785;0;Maillot fonctionel TS1 rouge;230;0;1;0;1;;;;;F33351-200;F33351-200;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues est un produit-multi-sport, adapté à toutes les situations.;"Maillot ras-du-cou à manches courtes SIXS Carbon Underwear, produit 
multi sports idéal, quelles que soient les conditions. Contrairement au 
débardeur, la manche courte épouse la forme de la partie supérieure du 
bras (l´aisselle) qui est soumise à une abondante transpiration, en 
gardant la peau au sec. La fibre polypropylène la plus légère et la plus
 respirante sur le marché combinée à un véritable fil de carbone, 
conférant au produit des propriétés anti statiques et de transmission de
 chaleur, protège le corps de la charge électrique provoquée par le 
frottement de plusieurs tissus synthétiques (caractéristique typique du 
vêtement de sport).<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33351-200.jpg;0;Genre:Homme:1,Couleur:rouge:4;0;new;0;0;0;2;0;0;0;0
84786;0;Maillot fonctionel TS1 rose;230;0;1;0;1;;;;;F33351-222;F33351-222;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues est un produit-multi-sport, adapté à toutes les situations.;"Maillot ras-du-cou à manches courtes SIXS Carbon Underwear, produit 
multi sports idéal, quelles que soient les conditions. Contrairement au 
débardeur, la manche courte épouse la forme de la partie supérieure du 
bras (l´aisselle) qui est soumise à une abondante transpiration, en 
gardant la peau au sec. La fibre polypropylène la plus légère et la plus
 respirante sur le marché combinée à un véritable fil de carbone, 
conférant au produit des propriétés anti statiques et de transmission de
 chaleur, protège le corps de la charge électrique provoquée par le 
frottement de plusieurs tissus synthétiques (caractéristique typique du 
vêtement de sport).<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33351-220.jpg;0;Genre:Homme:1,Couleur:rose:4;0;new;0;0;0;2;0;0;0;0
84787;0;Maillot fonctionel TS1 bleu claire;230;0;1;0;1;;;;;F33351-400;F33351-400;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues est un produit-multi-sport, adapté à toutes les situations.;"Maillot ras-du-cou à manches courtes SIXS Carbon Underwear, produit 
multi sports idéal, quelles que soient les conditions. Contrairement au 
débardeur, la manche courte épouse la forme de la partie supérieure du 
bras (l´aisselle) qui est soumise à une abondante transpiration, en 
gardant la peau au sec. La fibre polypropylène la plus légère et la plus
 respirante sur le marché combinée à un véritable fil de carbone, 
conférant au produit des propriétés anti statiques et de transmission de
 chaleur, protège le corps de la charge électrique provoquée par le 
frottement de plusieurs tissus synthétiques (caractéristique typique du 
vêtement de sport).<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33351-400.jpg;0;Genre:Homme:1,Couleur:bleu:4;0;new;0;0;0;2;0;0;0;0
84788;0;Maillot fonctionel TS1 jaune fluo;230;0;1;0;1;;;;;F33351-500;F33351-500;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues est un produit-multi-sport, adapté à toutes les situations.;"Maillot ras-du-cou à manches courtes SIXS Carbon Underwear, produit 
multi sports idéal, quelles que soient les conditions. Contrairement au 
débardeur, la manche courte épouse la forme de la partie supérieure du 
bras (l´aisselle) qui est soumise à une abondante transpiration, en 
gardant la peau au sec. La fibre polypropylène la plus légère et la plus
 respirante sur le marché combinée à un véritable fil de carbone, 
conférant au produit des propriétés anti statiques et de transmission de
 chaleur, protège le corps de la charge électrique provoquée par le 
frottement de plusieurs tissus synthétiques (caractéristique typique du 
vêtement de sport).<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33351-500.jpg,http://shop.motochic.ch/shopimages/super/F33351-500-_01.jpg;0;Genre:Homme:1,Couleur:jaune fluo:4;0;new;0;0;0;2;0;0;0;0
84789;0;Maillot fonctionel TS1 orange;230;0;1;0;1;;;;;F33351-600;F33351-600;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues est un produit-multi-sport, adapté à toutes les situations.;"Maillot ras-du-cou à manches courtes SIXS Carbon Underwear, produit 
multi sports idéal, quelles que soient les conditions. Contrairement au 
débardeur, la manche courte épouse la forme de la partie supérieure du 
bras (l´aisselle) qui est soumise à une abondante transpiration, en 
gardant la peau au sec. La fibre polypropylène la plus légère et la plus
 respirante sur le marché combinée à un véritable fil de carbone, 
conférant au produit des propriétés anti statiques et de transmission de
 chaleur, protège le corps de la charge électrique provoquée par le 
frottement de plusieurs tissus synthétiques (caractéristique typique du 
vêtement de sport).<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33351-600.jpg;0;Genre:Homme:1,Couleur:orange:4;0;new;0;0;0;2;0;0;0;0
84790;0;Maillot fonctionel TS1 vert fluo;230;0;1;0;1;;;;;F33351-700;F33351-700;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues est un produit-multi-sport, adapté à toutes les situations.;"Maillot ras-du-cou à manches courtes SIXS Carbon Underwear, produit 
multi sports idéal, quelles que soient les conditions. Contrairement au 
débardeur, la manche courte épouse la forme de la partie supérieure du 
bras (l´aisselle) qui est soumise à une abondante transpiration, en 
gardant la peau au sec. La fibre polypropylène la plus légère et la plus
 respirante sur le marché combinée à un véritable fil de carbone, 
conférant au produit des propriétés anti statiques et de transmission de
 chaleur, protège le corps de la charge électrique provoquée par le 
frottement de plusieurs tissus synthétiques (caractéristique typique du 
vêtement de sport).<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33351-700.jpg;0;Genre:Homme:1,Couleur:vert fluo:4;0;new;0;0;0;2;0;0;0;0
84791;0;Maillot fonctionel à manches longues TS2 blanc;230;0;1;0;1;;;;;F33352-001;F33352-001;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues en materièl Carbon Underwear®.;Maillot ras-du-cou à manches longues SIXS, le tissu Carbon Underwear® permet à la peau de respirer et assure la hermorégulation du corps, quelles que soient les conditions climatiques (activités en plein air ou en salle). La manche longue épouse la forme des bras en gardant la peau au sec. Elle protège aussi légèrement des courants d´air frais si vous portez par-dessus un haut à manches courtes.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33352-001.jpg,http://shop.motochic.ch/shopimages/super/F33352-001-_01.jpg;0;Genre:Homme:1,Couleur:blanc:4;0;new;0;0;0;2;0;0;0;0
84792;0;Maillot fonctionel à manches longues TS2 noir;230;0;1;0;1;;;;;F33352-003;F33352-003;Motochic;SIXS;;;;;;;;1;;;;;;Maillot, col rond à manches longues en materièl Carbon Underwear®.;Maillot ras-du-cou à manches longues SIXS, le tissu Carbon Underwear® permet à la peau de respirer et assure la hermorégulation du corps, quelles que soient les conditions climatiques (activités en plein air ou en salle). La manche longue épouse la forme des bras en gardant la peau au sec. Elle protège aussi légèrement des courants d´air frais si vous portez par-dessus un haut à manches courtes.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33352-003.jpg;0;Genre:Homme:1,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
84793;0;Maillot fonctionel TS2 C rouge;230;0;1;0;1;;;;;F33352-200;F33352-200;Motochic;SIXS;;;;;;;;1;;;;;;Maillot, col rond à manches longues en materièl Carbon Underwear®.;"Maillot ras-du-cou à manches longues SIXS, le tissu Carbon Underwear® 
permet à la peau de respirer et assure la hermorégulation du corps, 
quelles que soient les conditions climatiques (activités en plein air ou
 en salle). La manche longue épouse la forme des bras en gardant la peau
 au sec. Elle protège aussi légèrement des courants d´air frais si vous 
portez par-dessus un haut à manches courtes.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33352-200.jpg;0;Genre:Homme:1,Couleur:rouge:4;0;new;0;0;0;2;0;0;0;0
84794;0;Maillot fonctionel TS2 C rose;230;0;1;0;1;;;;;F33352-222;F33352-222;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues en materièl Carbon Underwear®.;"Maillot ras-du-cou à manches longues SIXS, le tissu Carbon Underwear® 
permet à la peau de respirer et assure la hermorégulation du corps, 
quelles que soient les conditions climatiques (activités en plein air ou
 en salle). La manche longue épouse la forme des bras en gardant la peau
 au sec. Elle protège aussi légèrement des courants d´air frais si vous 
portez par-dessus un haut à manches courtes.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33352-220.jpg;0;Genre:Homme:1,Couleur:rose:4;0;new;0;0;0;2;0;0;0;0
84795;0;Maillot fonctionel TS2 C bleu claire;230;0;1;0;1;;;;;F33352-400;F33352-400;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues en materièl Carbon Underwear®.;"Maillot ras-du-cou à manches longues SIXS, le tissu Carbon Underwear® 
permet à la peau de respirer et assure la hermorégulation du corps, 
quelles que soient les conditions climatiques (activités en plein air ou
 en salle). La manche longue épouse la forme des bras en gardant la peau
 au sec. Elle protège aussi légèrement des courants d´air frais si vous 
portez par-dessus un haut à manches courtes.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33352-400.jpg;0;Genre:Homme:1,Couleur:bleu:4;0;new;0;0;0;2;0;0;0;0
84796;0;Maillot fonctionel TS2 C jaune fluo;230;0;1;0;1;;;;;F33352-500;F33352-500;Motochic;SIXS;;;;;;;;0;;;;;;Maillot, col rond à manches longues en materièl Carbon Underwear®.;"Maillot ras-du-cou à manches longues SIXS, le tissu Carbon Underwear® 
permet à la peau de respirer et assure la hermorégulation du corps, 
quelles que soient les conditions climatiques (activités en plein air ou
 en salle). La manche longue épouse la forme des bras en gardant la peau
 au sec. Elle protège aussi légèrement des courants d´air frais si vous 
portez par-dessus un haut à manches courtes.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33352-500.jpg;0;Genre:Homme:1,Couleur:jaune fluo:4;0;new;0;0;0;2;0;0;0;0
84797;0;Maillot fonctionel TS2 C orange;230;0;1;0;1;;;;;F33352-600;F33352-600;Motochic;SIXS;;;;;;;;1;;;;;;Maillot, col rond à manches longues en materièl Carbon Underwear®.;"Maillot ras-du-cou à manches longues SIXS, le tissu Carbon Underwear® 
permet à la peau de respirer et assure la hermorégulation du corps, 
quelles que soient les conditions climatiques (activités en plein air ou
 en salle). La manche longue épouse la forme des bras en gardant la peau
 au sec. Elle protège aussi légèrement des courants d´air frais si vous 
portez par-dessus un haut à manches courtes.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33352-600.jpg;0;Genre:Homme:1,Couleur:orange:4;0;new;0;0;0;2;0;0;0;0
84798;0;Maillot fonctionel TS2 C vert fluo;230;0;1;0;1;;;;;F33352-700;F33352-700;Motochic;SIXS;;;;;;;;1;;;;;;Maillot, col rond à manches longues en materièl Carbon Underwear®.;"Maillot ras-du-cou à manches longues SIXS, le tissu Carbon Underwear® 
permet à la peau de respirer et assure la hermorégulation du corps, 
quelles que soient les conditions climatiques (activités en plein air ou
 en salle). La manche longue épouse la forme des bras en gardant la peau
 au sec. Elle protège aussi légèrement des courants d´air frais si vous 
portez par-dessus un haut à manches courtes.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33352-700.jpg;0;Genre:Homme:1,Couleur:vert fluo:4;0;new;0;0;0;2;0;0;0;0
84799;1;Maillot fonctionel TS3 noir;230;60.18518519;1;33.10185185;1;;;;;F33353-003;F33353-003;Motochic;SIXS;;;;;;;;0;;;;;;Ce maillot à col relevé est respirant et regulant thermique dans toutes les conditions de meteo;Maillot col montant à manches longues SIXS Carbon Underwear, respirant et thermorégulateur, quelles que soient les conditions climatiques. La manche longue épouse la forme des bras, en gardant la peau au sec et pouvant être portée sous d´autres vêtements. Elle protège aussi légèrement des courants d´air frais si vous portez par-dessus un haut à manches courtes. Le col montant protège également la gorge des changements de température et des courants d´air frais.<br><br><b>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><br><b>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><br><b>Tailles:</b><br>XS - 2XL;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33353-003.jpg;0;Genre:Homme:1,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
84800;1;Maillot fonctionel TS13 noir;230;69.44444444;1;38.19444444;1;;;;;F33355-003;F33355-003;Motochic;SIXS;;;;;;;;1;;;;;;Maillot à col relevé à manches longues en carbon avec fermeture éclaire;Maillot col montant avec fermeture éclair et manches longues SIXS Carbon Underwear, respirant et thermorégulateur, quelles que soient les conditions climatiques. La manche longue épouse la forme des bras, en gardant la peau au sec et pouvant être portée sous d´autres vêtements. Elle protège aussi légèrement des courants d´air frais si vous portez par-dessus un haut à manches courtes. Le col montant (qui peut être ouvert grâce à la fermeture éclair pratique sur le devant) protège la gorge des changements de température et des courants d´air frais.<br><b><br>Technologies:</b><br><ul><li>Seamless Technology</li><li>Antistatic System</li></ul><b><br>Composition:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone<br><b><br>Tailles:</b><br>XS - 2XL<br>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-11;2016-10-11;1;http://shop.motochic.ch/shopimages/super/F33355-003.jpg;0;Genre:Homme:1,Couleur:noir:4;0;new;0;0;0;2;0;0;0;0
