ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
87184;;Interphone Auto Kit;;;;;;;;;;Z5681-CARKIT;;;;;;;;;;;;;;;;;;"<B><H2>CAR KIT</B></H2>Auto-Freisprecheinrichtung für INTERPHONE Serie F.<BR><BR><B>FÜR DIE KOMMUNIKATION ZWISCHEN MOTORRAD UND AUTO</B><BR>INTERPHONE CAR KIT ist eine Freisprecheinrichtung für Autos ausgestattet mit Gegensprechanlage. Hierdurch kann über Bluetooth® mit jedem Motorradfahrer/In kommuniziert werden, der/die über ein INTERPHONE F4
CELLULAR LINE®* verfügt.<BR><BR>*Interphone F4 nicht in Verpackung enthalten";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87188;;F4 Auto und Motorrad-Ladegerät;;;;;;;;;;Z5681-F4-CHARG02;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;<B><H2>BATTERIELADEGERÄT SERIE F FÜR ZIGARETTENANZÜNGER</B></H2>Batterieladegerät INTERPHONE Serie F für Zigarettenanzünder mit einziehbarem Kabel. Lädt INTERPHONE F4 / F3 / F2 über jeden Zigarettenanzünder mit 2 oder 24 V.<BR>Praktisch und bequem muss nach Abschluss des Ladevorgangs einfach die entsprechende Taste gedrückt werden, um das Kabel vollständig einzuziehen.<BR><BR><B>Eigenschaften</B><UL><LI>Eingabe: 12/24V</LI><LI>Ausgabe: Speziell für INTERPHONE Serie F</LI><LI>Kabel vollständig einziehbar</LI><LI>Taste für automatischen Einzug</LI><LI>Schutzschaltkreis gegen Überlast und Kurzschluss</LI><LI>Kreislauf zur Optimierung der Ladezeit</LI><LI>Ergonomisches Design</LI></UL><B><BR>Kompatibilität</B><BR>Kompatibel mit INTERPHONE F4/F3/F2;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87190;;F5 USB Ladekabel;;;;;;;;;;Z5681-F5-CHARG03;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;<B><H2>DATENKABEL/USB-LADEKABEL F5</B></H2>Ladekabel mit USB-Stecker.<BR><BR><B>Eigenschaften</B><UL><LI>USB-Kabel Länge 1 m mit Stecker für INTERPHONE F5</LI></UL><B>Kompatibilität</B><UL><LI>Für alle INTERPHONE F5</LI></UL>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87191;;F5 Ersatzteile;;;;;;;;;;Z5681-F5-SPARE;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;<B><H2>ERSATZTEILKIT FÜR INTERPHONE F5</B></H2>Zusammengestellte Ersatzteile:<BR>1 Klebebügel<BR>1 Bügel-Clip<BR>1 Windschutzabdeckung<BR>Klettverschlüsse<BR><BR><B>Kompatibilität</B><BR>Für alle INTERPHONE F5;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87200;;Bordnetzsteckdosen-Adapter mit Kabel;;;;;;;;;;Z5682-001-00;;;;;;;;;;;;;;;;;Bietet verschiedene Möglichkeiten um Ihre Elektronischen Geräte während der Fahrt zu laden.;"<B><H2>MINISTECKER FÜR ZIGARETTENANZÜNDER</B></H2>ACCMOTOADAPTER ist ein Adapter mit 12 V und DIN-Stecker, der den Anschluss von vielen Elektrogeräten, wie Smartphones, GPS, Tablets, digitale Fotokameras, Bluetooth®-Gegensprechanlage und Powerbanks etc., am Motorrad ermöglicht.<BR>ACCMOTOADAPTER ist mit einem Verlängerungskabel ausgestattet, so dass die Geräte während der Fahrt aufgeladen werden können. Außerdem ist eine entfernbare Verschlusskappe aus Gummi vorgesehen, damit kein Wasser eindringen kann. Einfach im Gebrauch ist dieses Produkt mit dem Großteil der
neusten Motorradmodellen kompatibel, die mit einem DIN Stecker ausgestattet sind.<BR><BR><B>Empfohlener Gebrauch zusammen mit MICROCBRUSB und MICROCBRUSBDUAL</B><BR>* Nicht im Kit enthalten.";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87205;;USB Ladegerät für Zigarettenanzünderstecker;;;;;;;;;;Z5682-CHARGER02;;;;;;;;;;;;;;;;;Bietet verschiedene Möglichkeiten um Ihre Elektronischen Geräte während der Fahrt zu laden.;"<B><H2>USB 12V Micro Charger, BATTERIELADEGERÄT MIT USB-ANSCHLUSS</B></H2>Batterieladegerät für Zigarettenanzünder mit USB-Anschluss.<BR><BR><B>VIELFACHEINSATZ</B><BR>Immer mehr Mobiltelefone, MP3-Player und verschiedene andere Elektrogeräte können über ein USB-Kabel geladen werden. USB 12 V MICRO CHARGER Cellular Line® kann für Motorräder und Autos eingesetzt werden und ermöglicht das Aufladen aller Geräte mit nur einem Ladegerät.<BR><B>INTEGRIERTES DESIGN</B><BR>USB 12V MICRO CHARGER ist kein einfaches Batterieladegerät für Motorräder und Autos sondern ein versenkbares
Gerät, das den Zigarettenanzünder in einen USB-Ladeanschluss verwandelt.<BR><BR><B>Eigenschaften</B><UL><LI>Kompatibel mit Zigarettenanzünder von 12 V bis 24 V (Motorrad/Auto)</LI><LI>Mikro-Design, versenkbar</LI><LI>Ring zum vereinfachten Herausziehen</LI></UL><B>Kompatibilität</B><BR><UL><LI>Kompatibel mit allen Telefonen und anderen Geräten, die über eine USB*-Ladekabel verfügen</LI></UL>*Kabel nicht Teil der Ausstattung, Ausgabe max. 1000 mA";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87206;;Mikro-Reiseladegerät mit USB-Buchse;;;;;;;;;;Z5682-CHARGER03;;;;;;;;;;;;;;;;;;<ul><li>Automatischer Adapter für Steckdosen zu 110 bis 240V</li><li>Überbelastungs- und Kurzschlussschutzschaltung</li><li>Standard USB-Buchse zu 1000mA</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87207;;Ladegerät für GPS-Safe Tracker im Auto oder auf dem Motorrad;;;;;;;;;;Z5683-CHARGER01;;;;;;;;;;;;;;;;;Für die einfache Lokalisierung Ihres Fahrzeuges per GPS.;"<B><H2>SATELLITEN-ORTUNGSGERÄT MIT SICHERHEITSTECHNIK</B></H2>Dank dem GSM-Netz, dem GPRS und dem intelligenten GPS-Satellitensender können Gegenstände und Personen an jedem Ort auf der Erde geortet werden, wofür nur ein Smartphone oder PC mit Internetanschluss notwendig ist.<BR>Es besteht eine Vielzahl an Einsatzmöglichkeiten für GPS SAFE:<BR><BR><B>
SATELLITENGESTEUERTER DIEBSTAHLSCHUTZ FÜR AUTOS, MOTORRÄDER UND ANDERE FAHRZEUGE</B><BR>Bei der Verwendung an Fahrzeugen sendet GPS SAFE, nach entsprechenden Konfiguration und Aktivierung, einen Anhang per SMS. Nach Öffnen des Links wird eine Karte angezeigt, die Auskunft über die Position sowie den Ort gibt, an dem sich das Fahrzeug befindet. Bei der Nutzung des Geräts für Motorräder, wird, dank des Rüttelsenders, eine Alarm-SMS auch
dann versendet, wenn das Motorrad nur von seinem Ständer bewegt wird.<BR><BR><B>NOTFALLALARM</B><BR>Mithilfe der SOS-Taste kann das Gerät bei Bedarf für Notrufe verwendet werden. Nach der Betätigung der SOS-Taste beginnt GPS SAFE nacheinander die 5 zuvor gespeicherten Telefonnummern anzurufen, bis der Anruf auf einer beantwortet wird.<BR><BR><B>BEAUFSICHTIGUNG VON KINDERN</B><BR>Wird das Gerät im Rucksack positioniert, können Sie durch das Versenden einer SMS der Aufenthaltsort Ihres Kindes in Echtzeit bestimmen.<BR><BR><B>BEAUFSICHTIGUNG VON TIEREN</B><BR>Wird das Gerät am Halsband oder dem Sattel (bei Pferden) befestigt, können Sie durch das Versenden einer SMS der Aufenthaltsort Ihres Tieres bestimmen.<BR><BR><B>UMWELTSCHUTZ</B><BR>Dank der Funktion der ferngesteuerten akustischen Überwachung kann abgehört werden, was an dem Ort geschieht, an dem sich das Gerät befindet.<BR><BR><B>ORTUNG VON GRUPPEN</B><BR>Hierdurch kann der Aufenthaltsort von Arbeitseinheiten, Wandergruppen, Rettungsteams, Extremsport- und Trekkinggruppen sowie Gleitschirmflieger etc. bestimmt werden.<BR><BR><B>SENDUNGSVERFOLGUNG VON WERTGÜTERN</B><BR>Nachdem das Gerät entsprechend bei der Ware gepackt wurde, kann die Sendung in Echtzeit verfolgt werden.<BR><BR><B>KEIN ABONNEMENT BEI BETRIEBSZENTRALEN</B><BR>Es genügt eine aktive SIM-Karte mit ausreichendem Guthaben für das Versenden von SMS und für Anrufe zu installieren.<BR><BR><B>Funktionen</B><BR><UL><LI>SOS-Alarm mit Telefonanruf</LI><LI>Akustische Überwachung für sofortige Hilfe</LI><LI>Schutz von Feuchtigkeit IPX7 bei widrigen Umgebungsbedingungen</LI><LI>Positionierung von GPS und GSM
für eine bessere Bestimmung des Aufenthaltsortes</LI><LI>Integrierter Sensor zur Erfassung von zufälligen Bewegungen</LI><LI>Geofence-Alarm zum Schutz von Wertgütern</LI><LI>Speicherung der Bewegungen auf der Speicherkarte microSD</LI><LI>Fernsteuerung der Ortungsfunktionen über SMS</LI><LI>Software für Track-Manager mit Anzeige der Bewegung auf einer Karte</LI></UL>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87208;;Halter für nicht Rundrohrlenker;;;;;;;;;;Z5684-011-00;;;;;;;;;;;;;;;;;Diversese Zubehör für die GPS und Smartphone Taschen und Hüllen von Interphone.;<B><H2>SSC, HALTERUNG FÜR NICHT RÖHRENFÖRMIGE LENKER</B></H2>Befestigungssystem für nicht röhrenförmige Lenker. Der genaue Verschlussmechanismus mit vorgegebener Führung. Die Mikro-Regulierung der Blockiervorrichtung des Riemens ermöglicht eine feste Montage auch an nicht röhrenförmigen Lenkern von Motorrollern und Motorrädern. Das Gummiband (Teil der Ausrüstung) wird an der Innenseite des Gurts mit Feineinstellung angebracht und schützt den Lenker somit vor Spannung und Reibung. Zuvor muss dieses jedoch auf den Umfang des Lenkers zugeschnitten werden. Dank der robuste Öse am Ende sowie des Riemens mit Feineinstellung wird eine progressive Spannung ermöglicht, um die endgültige Position des gesamten Befestigungssystem einnehmen zu können.<BR>Dank des Einstellsystems des Haltebügels kann die Bajonettverschlussvorrichtung genau auf den benötigten Neigungswinkel für Produkte der Reihe Interphone gebracht werden. Das System SSC kann für eine Verwendung an anderen Motorrädern einfach entfernt werden und ist, außerdem, mit einem Hebel für ein schnelles Entfernen ausgestattet, dank dessen das Gerät entnommen werden kann. SSC ist eine intelligente und widerstandsfähige Lösung, die nicht von Fachleuten montiert werden muss.<BR><BR><B>Funktionen</B><BR><UL><LI>Für nicht röhrenförmige Lenker von bis zu 50 cm</LI><LI>Universalhalterung mit System zur schnellen Befestigung</LI><LI>Riemen mit Feineinstellung</LI><LI>Montagebügel mit einstellbarem Winkel (360°)</LI><LI>Wasserresistent</LI></UL>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87209;;Halter für Rundrohrlenker;;;;;;;;;;Z5684-012-00;;;;;;;;;;;;;;;;;Diversese Zubehör für die GPS und Smartphone Taschen und Hüllen von Interphone.;<B><H2>SM, HALTERUNG FÜR SERIE SM</B></H2>Halterung SMSMARTPHONE, SMGPS35, SMGPS43 für röhrenförmige Motorrad oder Fahrradlenker.<BR><UL><LI>Halterung für röhrenförmige Lenker mit 12 bis 30 mm Durchmesser</LI><LI>System für eine schnelle Befestigung/Entnahme</LI><LI>Drehung der Halterung um 360°</LI></UL>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87210;;Halter für Rundrohrlenker;;;;;;;;;;Z5684-013-00;;;;;;;;;;;;;;;;;Diversese Zubehör für die GPS und Smartphone Taschen und Hüllen von Interphone.;<B><H2>SMI, HALTERUNG FÜR SMIPHONE4</B></H2>Halterung SMIPHONE4 für röhrenförmige Motorrad oder Fahrradlenker.<BR><UL><LI>Halterung für röhrenförmige Lenker mit 12 bis 30 mm Durchmesser</LI><LI>System für eine schnelle Befestigung/Entnahme</LI><LI>Drehung der Halterung um 360°</LI></UL>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87187;;Headset neu für Interphone F4;;;;;;;;;;Z5681-F4-001;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87183;;Ersatzakku zu F-Serie und MC Serie;;;;;;;;;;Z5681-AKKU-F;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87189;;1x Halteplatte + Mikroapdeckung für F2-F4;;;;;;;;;;Z5681-F4-SPARE-1;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87211;;Hülle iPhone5 mit Halterung für Rundrohrlenker schwarz;;;;;;;;;;Z5684-023-00;;;;;;;;;;;;;;;;;Wasserdichte iPhone-Hülle für Motor- und Fahrrad welche mit einer Halterung für Rundrohrlenker (12-30mm) ausgeliefert wird.;<b>Halterung</b><br>Die Halterung kann an alle Rundrohrlenker mit einem Durchmesser von 16 ? 30 mm montiert werden.<br><br><b>Hülle</b><br>Wasserdichte Hüllen für Motor- und Fahrräder. Ein widerstandsfähiges Gehäuse aussen und eine stossfeste Gummihülle innen geben dem Gerät vollständigen Schutz. <br><br><b>Funktionen</b><br><ul><li>Montagebügel mit einstellbarem Winkel (360°)</li><li>Schnelle Sicherheitsblockierung</li><li>Stossfeste Verkleidung</li><li>Wasserdicht</li><li>Vollständiger Zugriff auf Touchscreen und Tasten</li><li>Möglichkeit während des Betriebs aufzuladen</li><li>Einfach am Lenker (Ø 16 - 30 mm) zu montieren</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87192;;Outdoor Kopfhörer für XT Serie Jack 3.5;;;;;;;;;;Z5681-HEADSET-OD;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87197;;Ladegeräte XT Serie für Zigarettenanzünder;;;;;;;;;;Z5681-XT-CHARG02;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
87198;;USB Ladekabel für XT Serie;;;;;;;;;;Z5681-XT-CHARG03;;;;;;;;;;;;;;;;;Diverses Zubehör zu den vielseitigen Bluetooth Geräten von Interphone.;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
