ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL-rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85184;;Alpinestars Jacke T-GP PLUS R AIR - Schwarz/Weiss;;;;;;;;;;RPGASBA14123;;;;;;;;;;;;;;;;;Eine durch und durch belüftete höchst strapazierfähige Sport-Jacke voller zertifizierte Protektoren hält Sie die T-GP Plus R Air Jacke ultra-kühl  und  komfortabel,  während  Sie  durch  die  Stadtstraßen  fahren.  Ein  praktischer  umlaufender  Taillenweite-Reißverschluss ermöglicht einen sicheren und festen Anschluss an den Alpinestars Hosen für hervorragende Kopf-zu-Fuß Deckung. ;<ul><li>Aus höchst strapazierfähigem abriebfestem 450/600 Den Polyestergewebe-Außenhaut für eine langanhaltende Leistung hergestellt.</li><li>Erweiterte Mesh Brust- und Arm-Einsätze leisten beträchtlichen Luftführung während des Fahrens für ausgezeichneten Komfort beim warmen Wetter.</li><li>Vollmesh-Futter fördert die Rundum-Luftführungseigenschaften und Atmungsaktivität dieses Kleidungsstücks.</li></ul><br><p><strong>Erstklassiger Innerschutz</p></strong><ul><li>Leichte ertifizierte Bio Armor Ellbogen- und Schulterprotektoren gewähren der Jacke eine geschmeidige Passform und bieten gleichzeitig erstklassigen Aufprallschutz.</li><li>Brust- und Rücktaschen mit PE Polstereinsätze (zertifizierte Bio Armor Brust und Rückprotektor als Zubehör erhältlich).</li><li>Alle Protektoren sind perforiert und sicher in Mesh-Fächer untergebracht zur erheblichen Erhöhung der Luftführungsleistung dieses Kleidungsstücks.</li></ul><br><p><strong>Komfort & Leistung</p></strong><ul><li>Sportliche Passform mit vorgekrümmtem Ärmelaufbau zur Vermeidung von Ermüdungserscheinungen und für verbesserten Fahrkomfort.</li><li>strategisch positionierte Akkordeon-Stretcheinsätze aus Polyestergewebe an Schultern für hervorragende Flex-Passform.</li><li>Stretcheinsätze aus Polyestergewebe an Ärmel für Beweglichkeit und Passform.</li><li>Kragen aus sanftem 3D Mesh-Textil sowie Manschettenbesatz aus  gepolstertem Textil für verbesserten Komfort und Atmungsaktivität.</li><li>Taillenweiteverstellungen mit kombinierten Klettverschluss und D-Ringschnallen  für eine individuelle stets sichere Passform.</li><li>Handgelenkmanschette mit Klettverschluss ermöglicht eine weitere Feineinstellung der Jackepassform.</li><li>Tieferer Rückenteil-Schnittdesign bietet Lendendeckung und verhindert, dass die Jacke über die Hose beim Fahren rutscht.</li><li>Praktische wasserfeste Innentasche bewährt wichtige Dokumente sicher und trocken auf.</li><li>Die äußeren vorderen Eingrifftaschen mit breiter Öffnung sind mit Reißverschluss für eine stets sichere Verschließung versehen.</li><li>Zahlreiche Innentaschen mit Klettverschluss für zusätzliche Sicherheit.</li><li>Der innere Taillen-Verbindungsreißverschluß ermöglicht den Anschluss an den Alpinestars Fahrhosen.</li><li>Reflexdetails für verbesserte Fahrersichtbarkeit.</li></ul>;;Alpinestars Jacke T-GP PLUS R AIR - Schwarz/Weiss Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85185;;Alpinestars Jacke AVANT PERFORATED - Schwarz;;;;;;;;;;RPGASBC13101;;;;;;;;;;;;;;;;;Dank der High-Density perforierten Einsätze im Oberkörper- und Rückenbereich bietet die Avant Perforierte Jacke eine optimale innere Klimatisierung beim Sommerfahrten. Das Vollnarbenleder und die ausgedehnten Stretch-Mikrofasereinsätze bieten einen ausgezeichneten Bewegungsumfang und anpassungsfähige Passform, während der zertifizierte Bio-Armor die Sicherheitseigenschaften dieser Jacke steigert.;<p><strong>Aufbau und Luftführung</p></strong><ul><li>Die verschleißfeste 1,1 mm Lederaußenhaut bietet außerordentliche Dauerhaftigkeit und Abriebfestigkeit.</li><li>Die ausgedehnten perforierten Paneele am Vorderseite des Oberkörpers und am hinteren Rücken bieten hervorragende klimatische Luftführung.</li><li>Lokalisierte hoch-dichtige perforierte Bereiche auf der Vorderseite, dem Rücken, der Ärmel und am Schulter für zusätzliche innere Kühlung.</li><li>Stretcheinsätze aus hochentwickelter Mikrofaser im Unterarmbereich, Taillenweite und Rücken verleihen einen hervorragenden Bewegungsumfang.</li><li>Strategisch platzierte anpassungsfähige Akkordeon-Stretcheinsätze aus Leder an Ellbogen bieten eine ausgezeichnete fahrsportliche Passform.</li><li>Voll-Mesh-Futter verbessert den Komfort und die Belüftung und integriert Innentaschen mit Velcro®-Verschluss.</li><li>Der Alpinestars innovativ gestaltete vorgekrümmte Ärmelschnitt verringert Ermüdungserscheinungen und unterstützt die sportliche Passform.</li></ul><br><p><strong>Schutzleistung</p></strong><ul><li>Herausnehmbare zertifizierte Bio-Armor Schulter- und Ellbogenprotektoren für einen hervorragenden Aufprallschutz.</li><li>Brusttaschen mit PE Komfort-Polsterung (Alpinestars Bionic-Brustprotektoren als Upgrade-Zubehör erhältlich).</li><li>Rückentaschen mit PE Komfort-Polsterung (Alpinestars Bionic-Rückenprotektor als Upgrade-Zubehör erhältlich).</li></ul><br><p><strong>Komfort und individuelle Anpassung</p></strong><ul><li>Manschetteverstellung mit Klettverschluss und halb-selbstarretierender Reißverschlüsse für einen verbesserten Passform- und Komfort-Grad.</li><li>Taillenweiteverstellungen mit kombinierten Klettverschluss und D-Ringschnallen für eine höchst individuelle stets sichere Passform.</li><li>Kragen- und Manschetten-Anfertigung aus 3D-Mesh mit Komfortkanten aus Neoprene®.</li><li>Reflexdetails auf Schulter, Rücken, Taille und Ärmel zur Verbesserung der Fahrersichtbarkeit.</li><li>Der innere Taillen-Verbindungsreißverschluß ermöglicht den Anschluss an den Alpinestars Hosen.</li><li>Gestickte Logos auf Oberkörper, Ärmel, Kragen und Rücken.</li><li>TPR-verstärkte Reißverschlussschieber am ganzen Kleidungsstück .</li></ul>;;Alpinestars Jacke AVANT PERFORATED - Schwarz Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85186;;Alpinestars Jacke GP PRO - Schwarz;;;;;;;;;;RPGASBC14101;;;;;;;;;;;;;;;;;Auf Anfrage ist die GP PRO Jacke in schwarz in den Grössen 62 und 64 erhältlich;<ul><li>Hochwertiges 1,3 mm Vollleder mit Aerodynamischer Dual-Density Rückenhöcker und Stretch-Panels seitlich am Rücken</li><li>Externe PU-Slider an Schulter und Ellbogen mit CE-geprüfte Ellbogen- und Schulterprotektoren</li><li>Aufnahmen für Brust- und Rückenprotektoren</li><li>Schnellregulierung im Jackenbund enganliegende Passform</li></ul>;;Alpinestars Jacke GP PRO - Schwarz Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85187;;Alpinestars Jacke HADES - Schwarz;;;;;;;;;;RPGASBC14104;;;;;;;;;;;;;;;;;Die Hades Lederjacke ist eine auffällige undleistungsfähige Jacke, die auf der Rennstrecke getesteteInnovationen und die neue Schulter- und Ellbogenprotektoren vonAlpinestars in sein ergonomisch und technisch konstruiertes Designintegriert. Sie bietet Individualismus, Luxus, Stil und Robustheit.;<p><strong>DESIGN</strong></p><ul><li>Konstruktion aus äußerst weichem und abriebfestem 1,3 mm Leder für hervorragende Abriebfestigkeit und luxuriösem Komfort.</li><li>Hochdichte Perforationen an Vorder- und Rückseite sind für eine optimale Passform durch eine Polsterung verstärkt.</li><li>Umfangreiche Aramidic Stretcheinsätze an Achseln und in der Taille für einen größeren Bewegungsbereich.</li><li>Erweiterte, mehrteilige und technische ärmel konstruktion, um die Ermüdung zu verringern und die anatomischen Leistung zu verbessern.</li><li>Flexible Akkordeon Stretcheinsätze aus Leder an Rücken und Ellbogen für eine ideale Passform und Leistungskomfort.</li></ul><br><p><strong>Schutz</strong></p><ul><li>Das revolutionäre neue Schulter-Schutzsystem hat eine strategisch platzierte, Dual-Density Schieberegler aus Kohlefaser-Verbindung an Schlüsselbein und Schulter, die fest in einer integrierten Silikon-spritzgegossenen Schale eingearbeitet sind, für unübertroffene Aufprall- und Abriebfestigkeit und sowie strukturelle Integrität .</li><li>Neuer Ellbogenschutz mit Dual-Density Schieberegler aus Kohlefaser-Verbindung an Schlüsselbein und Schulter für Aufprall- und Abriebfestigkeit und sowie strukturelle Integrität.</li><li>Brustfächer für Alpinestars Brustschutz als Zubehör verfügbar.</li><li>Das neue vielseitiges Druckanschlusssystem auf Velcro®ermöglicht die Integration der verschiedenen Alpinestars Rückenprotektoren, einschließlich des CE-zertifizierten Bionic Race Rückenprotektors.</li></ul><br><p><strong>Tragekomfort</strong></p><ul><li>Kurzer Höcker für Belüftung und Aerodynamik.</li><li>Flachprofil-Kragen mit abgerundeten Kanten fürKomfortfunktionen, gepolstert es 3D-Mesh für hervorragendeAtmungsaktivität.</li><li>Abnehmbares, mehrteilige Thermalfütterung mit3D-Mesh-Einsätzen für eine verbesserte Passform undBelüftung. Das Innenfutter ist waschbar.</li><li>Zwei externe Reißverschlusstaschen</li></ul>;;Alpinestars Jacke HADES - Schwarz Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85188;;Alpinestars Jacke HUNTSMAN - Schwarz;;;;;;;;;;RPGASBC14105;;;;;;;;;;;;;;;;;Die Huntsman Jacke ist gefertigt aus hochwertigem, weichen Leder mit subtilem und klassischem Vintage-Design. Sie gehört einfach in den Kleiderschrank eines jeden stilvollen Fahrers. Das Innenfutter aus Baumwollmischgewebe sorgt für ein luxuriöses Gefühl und die Schulter- und Ellbogen-Protektoren bieten erstklassigen Schutz.;"<ul><li>Angefertigt aus einem weichen, hochwertigen Vollleder im ""getragenen"" Look, das exzellente Abriebfestigkeit, und Komfort bietet.</li><li>Abnehmbare Schulter- und Ellbogenprotektoren bieten hervorragenden Aufprallschutz.</li><li>Vorgeformtes Ärmel-Design verringert Ermüdung.</li><li>Verstärkte Nähte in zentralen Bereichen an Schulter und Ellbogen für bessere Haltbarkeit.</li><li>Die integrierte Reißverschluss-Brieftasche ist abgedichtet, um 100 Prozent Wasserdichtigkeit zu gewährleisten.</li><li>Baumwollmischfutter für mehr Komfort sowie Ärmelinnenseiten aus modernem Poly-Gewebe für einfaches An- und Ausziehen.</li><li>Flachprofil-Kragen mit Druckknopf für schnelle und einfache Befestigung.</li><li>Reißverschluss-Bündchen sorgen für eine vielseitige und sichere Schließung.</li><li>Zwei große externe Reißverschlusstaschen und eine interne wasserdichte Tasche für das Portemonnaie.</li><li>Vintage YKK-Verschlüsse passend zum Retro-Stil.</li><li>Dezentes Ton-in-Ton Logo auf Vorder-und Rückseite.</li><li>Taillen-Anpassung mit Schnappbefestigung für individuelle Einstellung.</li><li>Material: 100% Leder</li></ul>";;Alpinestars Jacke HUNTSMAN - Schwarz Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85189;;Alpinestars Jacke STELLA VIKA - Schwarz;;;;;;;;;;RPGASBC14106;;;;;;;;;;;;;;;;;VIKA ist die neue Damen Motorradjacke Kapsel-Kollektion von Alpinestars. Von den Laufstegtrends inspiriert, bezieht die VIKA-Kollektion Leistungsschutz mit ein und ergänzt gleichzeitig die weibliche Silhouette.;"<p>Die VIKA Jacke zeichnet sich durch eine weiche Lederaussenhaut, vorgekrümmte Ärmel für überragenden Komfort und Stretcheinsätze für eine schmeichelnde figurnahe Passform auf oder abseits des Motorrades aus.</p><ul><li>Höchst komfortable Passform dank ihrem geschmeidigen und strapazierfähigen Vollleder-Aufbau</li><li>Vorgekrümmte Ärmel und verlängerter Rückenschnitt für zusätzlichen Tragekomfort und Leistung beim Motorrad-Fahren</li><li>Die Designeigenschaften inkorporieren strategisch positionierte Stretch-Einsätze aus KEVLAR</li><li>Die VIKA ist eine perfekte Darstellung von ""Form folgt Funktion"".</li><li>Leichte höchst konturierte herausnehmbare CE-zertifizierte Ellbogen- und Schulterprotektoren bieten hervorragenden Aufprallschutz</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/sD9wOU3Lkiw?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;Alpinestars Jacke STELLA VIKA - Schwarz Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85190;;Alpinestars Jacke STELLA GP-PLUS R - Schwarz/Weiss;;;;;;;;;;RPGASBC14121;;;;;;;;;;;;;;;;;Perfekt  gestylt  und  zur  Gewährleistung  einer  optimalen  Sport-Passform  entwickelt  ist  die  Stella  GP  Plus  R  Jacke  aus luxuriösem  hochwertigem  Leder  mit  strategischen  Stretcheinsätze  gefertigt.  Diese  Jacke,  die  an  den  Alpinestars  Stella Fahrhosen angeschlossen werden kann, ist voller Schutz-, Leistungs- und Komforteigenschaften;<ul><li>Höchst strapazierfähiges und hochwertiges 1.3 Leder, Multi-Paneel Anfertigung für hervorragende Abriebfestigkeit, mit verstärkten Nähte für eine optimale Reißfestigkeit beim Aufprallsfall. Zur Gewährleistung einer optimierten Damen-Leistungspassform entwickelt und hergestellt.</li></ul><br><p><strong>Schutzeigenschaften</strong></p><ul><li>Alpinestars rennerprobte CE-geprüfte Bio-Armor Schulter- und Ellbogenprotektoren.</li><li>Doppeldichtige hochentwickelte Polymer-Schulterschleifer sind im sportlichen modischen Design für zusätzliche Abriebfestigkeit ergonomisch eingearbeitet.</li><li>Brust- und Rückentaschen mit PE Polstereinsätze (Alpinestars Bionic-Brustprotektoren und Back Armor als Upgrade-Zubehör erhältlich).</li><li>Rückentaschen mit PE Polstereinsätze (Alpinestars Bionic Back Protektor als Upgrade-Zubehör erhältlich).</li></ul><br><p><strong>Ausgezeichnete Sportliche Passgenauigkeit</strong></p><ul><li>Fortschrittliche Akkordeon-Stretcheinsätze aus Polyestergewebe am Rückenteil für eine ausgezeichnete Passform und verringertes Gewicht.</li><li>Akkordeon-Stretcheinsätze aus Leder an Ellbogen ermöglichen einen erweiterten Bewegungsumfang.</li><li>Großflächige Stretcheinsätze aus Polyestergewebe unter den Ärmel halten die Jackenärmel fest am Fahrerkörper.</li><li>Perforierte gepolsterte Einsätze sind in Außenhaut und Ärmel für eine verbesserte Passform eingebaut.</li><li>Vorgekrümmter Ärmelaufbau verringert Fahrermüdung und Materialfalten.</li><li>Handgelenkverschluss mit kombiniertem Klett- und Reißverschluss für feste und individuell anpassbare Passform.</li><li>Taillenweiteverstellung mit Klettverschluss und D-Ring gewährleistet eine höchst individuelle Passform und hält die Jacke in Position.</li></ul><br><p><strong>Hervorragender Komfort</strong></p><ul><li>Alpinestars einzigartig-entwickelte Dynamic Flow Control (DFC) Lüftungseinlässe mit Reißverschluss an Schultern ermöglichen eine wirksame Regulierung der Innentemperatur.</li><li>Kragenaufbau sowie Manschettenbesatz aus sanftem 3D Mesh-Textil für verbesserten Komfort und Atmungsaktivität.</li><li>Mesh-Futteraufbau für verbesserte Atmungsaktivität, Komfort und Belüftung.</li><li>Die äußeren vorderen Eingrifftaschen mit breiter Öffnung sind mit Reißverschluss für eine stets sichere Verschließung versehen.</li><li>Zahlreiche Innentaschen mit Klettverschluss für zusätzliche Sicherheit.</li><li>Innere wasserfeste Portemonnaie-Tasche für sichere Aufbewahrung von Dokumenten.</li><li>Der innere Taillen-Verbindungsreißverschluß ermöglicht den Anschluss an den Alpinestars Fahrhosen.</li><li>Hochwertige YKK® Reißverschlüsse an der ganzen Bekleidung für Strapazierfähigkeit.</li><li>Reflexdetails für verbesserte Fahrersichtbarkeit für anderen Verkehrsteilnehmer.</li></ul>;;Alpinestars Jacke STELLA GP-PLUS R - Schwarz/Weiss Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85191;;Alpinestars Jacke PHANTOM - Braun;;;;;;;;;;RPGASBC14961;;;;;;;;;;;;;;;;;Die Phantom Lederjacke ist eine auffällige und leistungsfähige Jacke, die auf der Rennstrecke getestete Innovationen und die neue Schulter- und Ellbogenprotektoren von Alpinestars in sein ergonomisch und technisch konstruiertes Design integriert. Sie bietet Individualismus, Luxus, Stil und Robustheit.;<p><strong>DESIGN</strong></p><ul><li>Konstruktion aus äußerst weichem und abriebfestem 1,3 mm Leder für hervorragende Abriebfestigkeit und luxuriösem Komfort.</li><li>Hochdichte Perforationen an Vorder- und Rückseite sind für eine optimale Passform durch eine Polsterungverstärkt.</li><li>Umfangreiche Aramidic Stretcheinsätze an Achseln und in derTaille für einen größeren Bewegungsbereich</li><li>Erweiterte, mehrteilige und technische ärmelkonstruktion, um die Ermüdung zu verringern und die anatomischen Leistung zu verbessern.</li><li>Flexible Akkordeon Stretcheinsätze aus Leder an Rücken und Ellbogen für eine ideale Passform und Leistungskomfort.</li></ul><br><p><strong>SCHUTZ</strong></p><ul><li>Das revolutionäre neue Schulter-Schutzsystem hat eine strategisch platzierte, Dual-Density Schieberegler aus Kohlefaser-Verbindung an Schlüsselbein und Schulter, die fest in einer integrierten Silikon-spritzgegossenen Schale eingearbeitet sind, für unübertroffene Aufprall- und Abriebfestigkeit und sowie strukturelle Integrität .</li><li>Brustfächer für Alpinestars Brustschutz als Zubehör verfügbar.</li><li>Das neue vielseitiges Druckanschlusssystem auf Velcro®ermöglicht die Integration der verschiedenen Alpinestars Rückenprotektoren, einschließlich des CE-zertifizierten Bionic Race Rückenprotektors.</li></ul><br><p><strong>TRAGEKOMFORT</strong></p><ul><li>Kurzer Höcker für Belüftung und Aerodynamik.</li><li>Flachprofil-Kragen mit abgerundeten Kanten für Komfortfunktionen, gepolstert es 3D-Mesh für hervorragende Atmungsaktivität.</li><li>Abnehmbares, mehrteilige Thermalfütterung mit 3D-Mesh-Einsätzen für eine verbesserte Passform und Belüftung.</li><li>Das Innenfutter ist waschbar.</li><li>Zwei externe Reißverschlusstaschen</li></ul>;;Alpinestars Jacke PHANTOM - Braun Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85192;;Alpinestars Jacke HADES - Braun;;;;;;;;;;RPGASBC14962;;;;;;;;;;;;;;; ;;Die Hades Lederjacke ist eine auffällige undleistungsfähige Jacke, die auf der Rennstrecke getesteteInnovationen und die neue Schulter- und Ellbogenprotektoren vonAlpinestars in sein ergonomisch und technisch konstruiertes Designintegriert. Sie bietet Individualismus, Luxus, Stil und Robustheit.;<p><strong>DESIGN</strong></p><ul><li>Konstruktion aus äußerst weichem und abriebfestem 1,3 mm Leder für hervorragende Abriebfestigkeit und luxuriösem Komfort.</li><li>Hochdichte Perforationen an Vorder- und Rückseite sind für eine optimale Passform durch eine Polsterung verstärkt.</li><li>Umfangreiche Aramidic Stretcheinsätze an Achseln und in der Taille für einen größeren Bewegungsbereich.</li><li>Erweiterte, mehrteilige und technische ärmel konstruktion, um die Ermüdung zu verringern und die anatomischen Leistung zu verbessern.</li><li>Flexible Akkordeon Stretcheinsätze aus Leder an Rücken und Ellbogen für eine ideale Passform und Leistungskomfort.</li></ul><br><p><strong>SCHUTZ</strong></p><ul><li>Das revolutionäre neue Schulter-Schutzsystem hat eine strategisch platzierte, Dual-Density Schieberegler aus Kohlefaser-Verbindung an Schlüsselbein und Schulter, die fest in einer integrierten Silikon-spritzgegossenen Schale eingearbeitet sind, für unübertroffene Aufprall- und Abriebfestigkeit und sowie strukturelle Integrität .</li><li>Neuer Ellbogenschutz mit Dual-Density Schieberegler aus Kohlefaser-Verbindung an Schlüsselbein und Schulter für Aufprall- und Abriebfestigkeit und sowie strukturelle Integrität.</li><li>Brustfächer für Alpinestars Brustschutz als Zubehör verfügbar.</li><li>Das neue vielseitiges Druckanschlusssystem auf Velcro®ermöglicht die Integration der verschiedenen Alpinestars Rückenprotektoren, einschließlich des CE-zertifizierten Bionic Race Rückenprotektors.</li></ul><br><p><strong>TRAGEKOMFORT</strong></p><ul><li>Kurzer Höcker für Belüftung und Aerodynamik.</li><li>Flachprofil-Kragen mit abgerundeten Kanten fürKomfortfunktionen, gepolstert es 3D-Mesh für hervorragendeAtmungsaktivität.</li><li>Abnehmbares, mehrteilige Thermalfütterung mit3D-Mesh-Einsätzen für eine verbesserte Passform undBelüftung. Das Innenfutter ist waschbar.</li><li>Zwei externe Reißverschlusstaschen</li></ul>;;Alpinestars Jacke HADES - Braun Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85193;;Alpinestars Jacke MONTY - Schwarz;;;;;;;;;;RPGASBC15101;;;;;;;;;;;;;;;;;Indem jedes Kleidungsstück zur Gewährleistung eines völlig einzigartigen individuellen und traditionellen Looks handgefertigt ist, schmelzt die Monty Lederjacke Form und Funktion ein: Außenhaut aus hochwertigem Vollnarbenleder, welche erstklassige Schulter- und Ellbogenschutz für eine sichere und stilvolle Leistung auf raffinierte Weise integriert.;<ul><li>Außenhaut aus handgefertigtem hochwertigem Vollnarbenleder, das  zur Gewährleistung eines einzigartigen Vintage-Auftritts und -Stils gewaschen und mit Wachs behandelt worden ist.</li><li>Perforierte Ledereinsätze an den Ärmeln und Oberkörper verbessern die Belüftung und den Komfort der Jacke.</li><li>Herausnehmbare erstklassige zertifizierte Schulter- und Ellbogenprotektoren für Aufprallschutz.</li><li>Inneres Rückenprotektor-Fach ermöglicht Zubehör-Upgrade des Rückenprotektors zur Steigerung der Schutzeigenschaften der Jacke.</li><li>Taillenweiteverstellung mit Reißverschluss ermöglicht eine individuelle Passgenauigkeit in der Fahr- und Steh-Position.</li><li>Durchgehende herausnehmbare Innenschicht aus Baumwollflanell ermöglicht das Tragen der Jacke bei unterschiedlichen Wetterverhältnissen.</li><li>Innere und äußere Fächer integrieren Reißverschlüsse für sicheren Verschluss.</li><li>Einzigartige Verzierung, Besätze, Druckknöpfe und Niete im OSCAR-Stil vervollständigen den Vintage-Look.</li></ul>;;Alpinestars Jacke MONTY - Schwarz Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85194;;Alpinestars Jacke SHELLEY - Schwarz;;;;;;;;;;RPGASBC15103;;;;;;;;;;;;;;;;;Für eine elegant profilierte Damenpassform entwickelt, die für das Motorrad-Fahren als auch Laufen optimiert ist, weist die vielseitige und luxuriöse Shelley Lederjacke erstklassigen zertifizierten Schutz und eine herausnehmbare Innenschicht aus Baumwollflanell auf, welche das Tragen dieser Jacke bei einer Vielfalt von Klimas ermöglicht.;<ul><li>Hauptkörper aus hochwertigem Vollnarbenleder ist für eine schlanke Damenpassform entwickelt und optimiert.</li><li>Herausnehmbare erstklassige zertifizierte Schulter- und Ellbogenprotektoren für Aufprallschutz.</li><li>Perforierte Ledereinsätze an den Ärmeln und Oberkörper verbessern die Belüftung und den Komfort der Jacke.</li><li>Inneres Rückenprotektor-Fach ermöglicht Zubehör-Upgrade des Rückenprotektors zur Steigerung der Schutzeigenschaften der Jacke.</li><li>Herausnehmbare Innenjacke aus Baumwollflanell ermöglicht das Tragen der Jacke bei unterschiedlichen Wetterverhältnissen.</li><li>Innere und äußere Fächer integrieren Reißverschlüsse für sicheren Verschluss, sowie eine praktische Kleingeldtasche am linken Arm.</li><li>Einzigartige Verzierung, Besätze, Druckknöpfe und Niete im OSCAR-Stil vervollständigen den Vintage-Look.</li></ul>;;Alpinestars Jacke SHELLEY - Schwarz Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
85195;;Alpinestars Jacke MOTEGI - Schwarz/Weiss/Blau;;;;;;;;;;RPGASBC151271;;;;;;;;;;;;;;;;;Sportliche Passform und hervorragende Schutzniveaus kennzeichnen diese vielseitige mehrschichtige Jacke aus hochwertigem Leder für Abriebfestigkeit und Komfort. die Motegi Jacke arbeitet zuverlässige und sichere Taille- und Ärmel-Verschlüsse zur Gewährleistung einer höchst individuelle Passform ein. Diese vielseitige Jacke kann an einem Sortiment von Alpinestars Hosen befestigt werden.;<ul><li>Alpinestars rennerprobte herausnehmbare zugelassene Bio-Armor Schulter- und Ellbogenprotektoren sind unter die Jacke auf raffinierte Weise eingebaut.</li><li>Lokalisierte Perforationszonen im oberen und unteren Körperbereich verbessern Belüftung und Kühlung.</li><li>Doppeldichtige hochentwickelte Polymer-Schulterschleifer sind im  Jackendesign für ausgezeichnete Abriebfestigkeit und Schutz ergonomisch eingearbeitet.</li><li>Brust- und Rückentaschen mit PE Polsterung (Bionic-Brustprotektoren und -Rückenprotektor als Upgrade- Zubehör erhältlich).</li><li>Fortschrittliche Akkordeon-Stretcheinsätze aus Polyestergewebe im Rücken- und Ellbogen-Bereich für eine ausgezeichnete Passgenauigkeit, die für alle Fahrsportarten optimiert ist.</li><li>Größenverstellbares (S-M-L) Druckknopf-System zum individuellen Einbau des Alpinestars zertifizierten Bionic Rückenprotektors, der als Zubehör erhältlich ist.</li><li>Herausnehmbares Thermalfutter macht die Motegi zum einen vielseitigen Wetter-Schutz, der bei kälterem Wetter getragen werden kann.</li><li>Perforierte gepolsterte Einsätze sind in Außenhaut für eine verbesserte Passform, Komfort und zusätzlichen Schutz eingebaut.</li><li>Vorgekrümmter Ärmelaufbau verringert Fahrermüdung und verhindert Materialfalten.</li><li>Handgelenkverschluss mit kombiniertem Klett- und Reißverschluss für feste und individuell anpassbare Passform.</li><li>Festes Mesh-Futter verbessert Komfort und innere Luftumwälzung.</li><li>Taillenweiteverstellung mit Klettverschluss und D-Ring gewährleistet eine höchst individuelle Passform und hält die Jacke in Position.</li><li>Umlaufender Taillen-Verbindungsreißverschluß ermöglicht sicheren und festen Anschluss von Ober- und Unterteil.</li><li>Vordertaschen mit Reißverschluss und wasserfeste Innentasche für Komfort.</li><li>Reflexdetails für verbesserte Fahrersichtbarkeit.</li></ul>;;Alpinestars Jacke MOTEGI - Schwarz/Weiss/Blau Motogoodeal - Motorradspezialist;;Alpinestars Schlussverkauf - Die besten Preise der Saison!;;Auf Lager;Ausverkauft;;;;;;;;;;;;;;;;;
