ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
81804;1;Blouson Ixon OXYGEN HP - Noir/Blanc/Vert;196,169;212.037037;1;116.62;1;;15;;;RPGIXBA131281;RPGIXBA131281;Redpoint;Ixon;;;;;;;;0;;;;;;"Blouson moto toutes saisons, le ""Oxygen HP"" est équipé d'une doublure hiver, étanche et amovible, indispensable à tous ceux qui souhaitent ne pas avoir à changer de veste en fonction de la météo. ";<ul><li>Trop chaud ? Les larges zips de ventilations sur le devant du Oxygen HP, ses manches avec empiècement Mesh 3D et ses grilles de ventilation permanentes dans le dos assureront une ventilation efficace dans le blouson. </li><li></li><li>Bien évidemment renforcé aux coudes et épaules par des protections homologuées CE, ainsi que par un pan lombaire rallongé et dorsale homologuée CE elle aussi, l’Oxygen HP d’Ixon pour homme se dote également de 3 poches intérieures, bien pratiques pour préserver son téléphone et ses papiers de la pluie ! </li><li></li><li>COMPOSITION</li><li>Blouson homme toutes saisons</li><li>Doublure hiver thermique amovible</li><li>Textile Noxiguard hautement résistant à l'abrasion renforcé par des inserts en Riplan</li><li>Empiècements Mesh 3D sur les manches</li><li>Protections coudes et épaules CE</li><li>Dorsale amovible homologuée CE</li><li>Grands zips de ventilation devant et dos</li><li>Col doublé avec rehausse néoprène</li><li>Dos renforcé et rallongé</li><li>Manches ajustables par élastique et pression</li><li>Patte de serrage poignet avec soufflet d’aisance et pression</li><li>Serrage bas de blouson par boucle et pression</li><li>2 poches main latérales, ouverture zip</li><li>2 poches doublure amovible + 3 poches intérieures</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir/Blanc/Vert:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Etanche:4,Matière:Textile:5,Saisonnalité:Toutes saisons:6,Ventilé:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
81805;1;Blouson Ixon PITRACE - Noir/Blanc/Jaune;196,169;193.5185185;1;106.44;1;;15;;;RPGIXBA141082;RPGIXBA141082;Redpoint;Ixon;;;;;;;;0;;;;;;Blouson sport homme 2 en 1, très ventilé pour l’été grâce à des empiècements en mesh, étanche et coupe-vent porté avec son insert amovible. Il dipose de protections coudes et épaules certifiées CE. Pitrace bénéficie d’un nouveau taillant sport offrant une meilleure aisance et encore plus de confort.;<p><strong>Materiaux</strong></p><ul><li>Ventilé devant, dos et sur les manches grâce à des empiècements en mesh</li><li>Etanche, respirant et coupe-vent avec son insert Drymesh amovible</li></ul><p><strong>Caracteristiques</strong></p><ul><li>Col racing</li><li>Serrages poignets par pression</li><li>Serrages manches par pression</li><li>Serrage bas de blouson par pression</li><li>2 poches extérieures</li><li>1 poche étanche</li><li>2 poches intérieures</li><li>Connexion avec zip au dos</li><li></li><li>Poche de rangement au dos pour l’insert</li><li>Piping réflectif sur les manches, les épaules et au bas du dos</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir/Blanc/Jaune:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Etanche:4,Matière:Textile:5,Saisonnalité:été:6,Ventilé:Oui:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
81806;1;Blouson Ixon PITRACE - Noir/Blanc;196,169;193.5185185;1;106.44;1;;15;;;RPGIXBA141151;RPGIXBA141151;Redpoint;Ixon;;;;;;;;0;;;;;;Blouson sport homme 2 en 1, très ventilé pour l’été grâce à des empiècements en mesh, étanche et coupe-vent porté avec son insert amovible. Il dipose de protections coudes et épaules certifiées CE. Pitrace bénéficie d’un nouveau taillant sport offrant une meilleure aisance et encore plus de confort.;<p><strong>Materiaux</strong></p><ul><li>Ventilé devant, dos et sur les manches grâce à des empiècements en mesh</li><li>Etanche, respirant et coupe-vent avec son insert Drymesh amovible</li></ul><p><strong>Caracteristiques</strong></p><ul><li>Col racing</li><li>Serrages poignets par pression</li><li>Serrages manches par pression</li><li>Serrage bas de blouson par pression</li><li>2 poches extérieures</li><li>1 poche étanche</li><li>2 poches intérieures</li><li>Connexion avec zip au dos</li><li></li><li>Poche de rangement au dos pour l’insert</li><li>Piping réflectif sur les manches, les épaules et au bas du dos</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir/Blanc:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Etanche:4,Matière:Textile:5,Saisonnalité:été:6,Ventilé:Oui:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
81807;1;Blouson Ixon PITRACE - Noir/Blanc/Rouge;196,169;193.5185185;1;106.44;1;;15;;;RPGIXBA141251;RPGIXBA141251;Redpoint;Ixon;;;;;;;;0;;;;;;Blouson sport homme 2 en 1, très ventilé pour l’été grâce à des empiècements en mesh, étanche et coupe-vent porté avec son insert amovible. Il dipose de protections coudes et épaules certifiées CE. Pitrace bénéficie d’un nouveau taillant sport offrant une meilleure aisance et encore plus de confort.;<p><strong>Materiaux</strong></p><ul><li>Ventilé devant, dos et sur les manches grâce à des empiècements en mesh</li><li>Etanche, respirant et coupe-vent avec son insert Drymesh amovible</li></ul><p><strong>Caracteristiques</strong></p><ul><li>Col racing</li><li>Serrages poignets par pression</li><li>Serrages manches par pression</li><li>Serrage bas de blouson par pression</li><li>2 poches extérieures</li><li>1 poche étanche</li><li>2 poches intérieures</li><li>Connexion avec zip au dos</li><li></li><li>Poche de rangement au dos pour l’insert</li><li>Piping réflectif sur les manches, les épaules et au bas du dos</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir/Blanc/Rouge:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Etanche:4,Matière:Textile:5,Saisonnalité:été:6,Ventilé:Oui:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
81808;1;Blouson Ixon COOLER - Noir;196,169;137.962963;1;75.88;1;;15;;;RPGIXBA151011;RPGIXBA151011;Redpoint;Ixon;;;;;;;;0;;;;;;Ce blouson homme au look technique est très accessible et proposé en plusieurs versions couleurs sobres et estivales. Spécialement adapté aux sorties d’été, avec de grands empiècements en textile aéré, il forme un ensemble élégant avec le pantalon Cooler pant. Cooler bénéficie d’un nouveau taillant sport offrant une meilleure aisance et encore plus de confort.;<p><strong>Materiaux</strong></p><ul><li>Ventilé devant, dos et sur les manches grâce à des empiècements en mesh</li><li>Éléments réflectifs sur les manches</li></ul><p><strong>Caracteristiques</strong></p><ul><li>Col classique</li><li>Rehausse col néoprène</li><li>Serrages poignets par pression</li><li>Serrages manches par pressions</li><li>Serrage bas de blouson par pression</li><li>2 poches extérieures</li><li>3 poches intérieures</li><li>Connexion par boucle et pression</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Non:4,Matière:Textile:5,Saisonnalité:été:6,Ventilé:Oui:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
81810;1;Blouson Ixon MISSILE HP - Noir/Argent;196,169;202.7777778;1;111.53;1;;15;;;RPGIXBA151121;RPGIXBA151121;Redpoint;Ixon;;;;;;;;0;;;;;;"Le Missile HP du Fabricant Ixon est un blouson été pour homme, doté d’une coupe sportive. 
Il est en textile résistant à l’abrasion avec des renforts Noxiguard sur les zones les plus sensibles lors d’une chute.";"<ul><li>Blouson moto sportif pour homme</li><li>Saison : été</li><li>Matière : Textile résistant à l’abrasion</li><li>Insert Drymesh étanche et respirant, amovible avec poche de rangement dans le dos</li><li>Empiècements en mesh sur le devant, les côtés du dos et les manches pour une ventilation optimale</li><li>Renfort Noxiguard sur les zones sensibles à l’abrasion</li><li>Protections homologuées CE aux épaules et coudes</li><li>Poche pour dorsale homologuée CE (dorsale Ixon ""Guardian"" disponible en option sur iCasque.com)</li><li>Manches pré-incurvées pour une meilleure aisance</li><li>Nombreuses poches dont une au dos pour l'insert</li><li>Zip de connexion avec les pantalons Ixon</li><li>Blouson moto homologué CE et EPI</li></ul>";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir/Argent:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Etanche:4,Matière:Textile:5,Saisonnalité:été:6,Ventilé:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
81812;1;Blouson Ixon COOLER - Noir/Blanc;196,169;137.962963;1;75.88;1;;15;;;RPGIXBA151152;RPGIXBA151152;Redpoint;Ixon;;;;;;;;0;;;;;;Ce blouson homme au look technique est très accessible et proposé en plusieurs versions couleurs sobres et estivales. Spécialement adapté aux sorties d’été, avec de grands empiècements en textile aéré, il forme un ensemble élégant avec le pantalon Cooler pant. Cooler bénéficie d’un nouveau taillant sport offrant une meilleure aisance et encore plus de confort.;<p><strong>Materiaux</strong></p><ul><li>Ventilé devant, dos et sur les manches grâce à des empiècements en mesh</li><li>Éléments réflectifs sur les manches</li></ul><p><strong>Caracteristiques</strong></p><ul><li>Col classique</li><li>Rehausse col néoprène</li><li>Serrages poignets par pression</li><li>Serrages manches par pressions</li><li>Serrage bas de blouson par pression</li><li>2 poches extérieures</li><li>3 poches intérieures</li><li>Connexion par boucle et pression</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir/Blanc:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Non:4,Matière:Textile:5,Saisonnalité:été:6,Ventilé:Oui:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
81814;1;Blouson Ixon HACKER GAME - Noir/Blanc/Rouge;196,169;110.1851852;1;60.60;1;;15;;;RPGIXBA151272;RPGIXBA151272;Redpoint;Ixon;;;;;;;;0;;;;;;"Dans la lignée des blousons textiles pour homme, Ixon vous propose le ""Hacker Game"", blouson été polyvalent répondant aux exigences premières de la conduite à moto. ";"<ul><li>Blouson moto été pour homme Ixon</li><li>Empiècements en tissu Mesh aéré sur le devant, à l'arrière et sur les manches</li><li>Protections : mousse dorsale - pouvant être remplacée par une dorsale certifiée CE ""Guardian""</li><li>Protections coudes et épaules certifiées CE</li><li>Coupe sport</li><li>Col classique doublé micropeach</li><li>Patte de serrage poignet avec soufflet d'aisance</li><li>Serrages bras, avant-bras, coudes et taille par pressions</li><li>2 poches main latérales, ouverture zip</li><li>2 poches intérieures</li></ul>";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir/Blanc/Rouge:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Non:4,Matière:Textile:5,Saisonnalité:été:6,Ventilé:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
81818;1;Blouson Ixon ADDICT FULL - Noir-Absolu;195,169;443.5185185;1;243.94;1;;20;;;RPGIXBC111081;RPGIXBC111081;Redpoint;Ixon;;;;;;;;0;;;;;;"Le look très prononcé de ce blouson cuir pour homme s'accompagne de technicité provenant de notre ""MotoGP Experience"": bras précurvés, cuir flex, stretch renforcé KEVLAR®, autant d'ajouts pour une conduite sportive sur piste ou sur route.";<ul><li>100% cuir de vachette extra souple </li><li>Stretch KEVLAR® sous les bras et derrière les genoux Coques extérieures aux coudes et épaules</li><li>Doublure hiver amovible gilet sans manches</li><li>Col racing cuir doublé néoprène</li><li>Cuir flex aux emmanchures dos, en bas du dos et sur les genoux</li><li>Poignets zippés en néoprène avec patte velcro</li><li>Taille pantalon élastiquée avec patte de serrage velcro devant</li><li>Manches et jambes précurvées</li><li>Bosse aérodynamique creuse pour passage d’un Camel Back et aérations</li><li>Logos en rubber 3D sur les cuisses souples et résistants</li><li>2 poches doublure</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir-Absolu:1,Genre:Homme:2,Fabricant:Ixon:3,Etanchéité:Etanche:4,Matière:Cuir:5,Saisonnalité:Toutes saisons:6,Ventilé:Non:7,Bosse Aérodynamique:Oui:8;0;new;0;0;0;0;0;0;0;0
81823;1;Blouson Ixon CRYSTAL ROCK - Noir;195,449,169;313.8888889;1;172.64;1;;15;;;RPGIXBC121014;RPGIXBC121014;Redpoint;Ixon;;;;;;;;0;;;;;;Blouson cuir pour femme. Sa doublure hiver amovible le rend adapté à plusieurs climats et ses flex latéraux apportent aisance quelle que soit votre morphologie. Crystal Rock est certifié CE.;<p><strong>Materiaux</strong></p><ul><li>100% cuir de vachette extra souple</li><li>Doublure hiver intégrale amovible</li><li>Flex d’aisance sur les côtés</li></ul><p><strong>Confort</strong></p><ul><li>Col classique</li><li>Rehausse col néoprène</li><li>Serrage col par pression</li><li>Serrages poignets par zip et pression</li><li>Serrage bas de blouson par pression</li><li>Rabat sous zip frontal</li></ul><p><strong>Caracteristiques</strong></p><ul><li>2 poches extérieures</li><li>1 poche mobile</li><li>2 poches doublure</li><li>1 poche intérieure</li><li>Connexion avec zip au dos</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Couleur:Noir:1,Genre:Femme:2,Fabricant:Ixon:3,Etanchéité:Non:4,Matière:Cuir:5,Saisonnalité:Toutes saisons:6,Ventilé:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
