Product ID*;Ref Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
43511;;Taille:select:0;M:3;41020302-237-M;41020302-237-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-237-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-237-_1.jpg;1;;;;
43511;;Taille:select:0;S:2;41020302-237-S;41020302-237-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-237-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-237-_1.jpg;1;;;;
43511;;Taille:select:0;XL:5;41020302-237-XL;41020302-237-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-237-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-237-_1.jpg;1;;;;
43512;;Taille:select:0;2XL:6;41020302-617-2XL;41020302-617-2XL;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
43512;;Taille:select:0;3XL:7;41020302-617-3XL;41020302-617-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
43512;;Taille:select:0;4XL:8;41020302-617-4XL;41020302-617-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
43512;;Taille:select:0;5XL:9;41020302-617-5XL;41020302-617-5XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
43512;;Taille:select:0;6XL:10;41020302-617-6XL;41020302-617-6XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
43512;;Taille:select:0;L:4;41020302-617-L;41020302-617-L;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
43512;;Taille:select:0;M:3;41020302-617-M;41020302-617-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
