Product ID*;REF PROD;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
80528;;Taille:select:0;L:6;9712 FC L;9712 FC L;;;;;;0;;;;;;;;;;;
80528;;Taille:select:0;XL:7;9712 FC XL;9712 FC XL;;;;;;0;;;;;;;;;;;
80529;;Taille:select:0;XL:7;9714 OR XL;9714 OR XL;;;;;;0;;;;;;;;;;;
80529;;Taille:select:0;XS:3;9714 OR XS;9714 OR XS;;;;;;0;;;;;;;;;;;
80530;;Taille:select:0;L:6;9714 R L;9714 R L;;;;;;0;;;;;;;;;;;
80530;;Taille:select:0;S:4;9714 R S;9714 R S;;;;;;0;;;;;;;;;;;
80531;;Taille:select:0;XL:7;9714 S XL;9714 S XL;;;;;;0;;;;;;;;;;;
80531;;Taille:select:0;XS:3;9714 S XS;9714 S XS;;;;;;0;;;;;;;;;;;
80532;;Taille:select:0;L:6;9715 SC L;9715 SC L;;;;;;0;;;;;;;;;;;
80532;;Taille:select:0;M:5;9715 SC M;9715 SC M;;;;;;0;;;;;;;;;;;
80532;;Taille:select:0;S:4;9715 SC S;9715 SC S;;;;;;0;;;;;;;;;;;
80532;;Taille:select:0;XL:7;9715 SC XL;9715 SC XL;;;;;;0;;;;;;;;;;;
80532;;Taille:select:0;XS:3;9715 SC XS;9715 SC XS;;;;;;0;;;;;;;;;;;
80539;;Taille:select:0;L:6;9718 R L;9718 R L;;;;;;0;;;;;;;;;;;
80538;;Taille:select:0;M:5;9718 S M;9718 S M;;;;;;0;;;;;;;;;;;
80542;;Taille:select:0;M:5;9719 PI M;9719 PI M;;;;;;0;;;;;;;;;;;
80547;;Taille:select:0;XS:3;MR595S 699 XS;MR595S 699 XS;;;;;;0;;;;;;;;;;;
80482;;Taille:select:0;2XS:2;3812-2XS;3812-2XS;;;;;;2;;;;;;;;;;;
80482;;Taille:select:0;3XS:1;3812-3XS;3812-3XS;;;;;;3;;;;;;;;;;;
80482;;Taille:select:0;XS:3;3812-XS;3812-XS;;;;;;2;;;;;;;;;;;
